Time,Robot Y pose,Robot Y velocity,Robot Tires vel,Robot Tires torque
0.44910454750061035,-0.07740403648775986,0.1942776171384677,11,25
0.4696357250213623,-0.06580840003719844,0.46401320297710075,11,25
0.4905369281768799,-0.053347699676173574,0.5483587731028177,11,25
0.5071709156036377,-0.04310450758221832,0.5727750481215258,11,25
0.5238399505615234,-0.032538383870811614,0.6444076965962637,11,25
0.5403313636779785,-0.021317947633487863,0.7822792667835761,11,25
0.5571384429931641,-0.009378871415566897,0.914900573427502,11,25
0.574040412902832,0.00328769328965349,1.0772823408117902,11,25
0.5867700576782227,0.014001566658464082,1.096938706133881,11,25
0.5993175506591797,0.026076279542974437,1.0814671343331408,11,25
0.611583948135376,0.03900463992906961,1.1393194654386143,11,25
0.6240572929382324,0.05274798594196653,1.1725286897932332,11,25
0.6369256973266602,0.06726992922098143,1.217231874828296,11,25
0.6448664665222168,0.07738532277697217,1.251085452593948,11,25
0.6529860496520996,0.08785324026732488,1.2789320926870618,11,25
0.6618607044219971,0.09866211294584357,1.3137344244850306,11,25
0.6698794364929199,0.10984201618564585,1.3396397000557714,11,25
0.6782081127166748,0.12133811973160438,1.3650391491734777,11,25
0.687065839767456,0.13316914522250492,1.4006513480543656,11,25
0.6947557926177979,0.14535413483760798,1.4738777358910913,11,25
0.7029602527618408,0.15804865662994752,1.5374222159861353,11,25
0.7119238376617432,0.17114432906779667,1.6313458583878355,11,25
0.7198390960693359,0.18474880930835472,1.6943082984189042,11,25
0.7282512187957764,0.19877764192360045,1.7598507279255384,11,25
0.7364251613616943,0.21330143648314456,1.8029873905145775,11,25
0.7447900772094727,0.22817039396813937,1.8273887916413558,11,25
0.7530539035797119,0.24337838157327416,1.8577735096778119,11,25
0.7615373134613037,0.2588619739875194,1.8790599815042386,11,25
0.7697067260742188,0.27469610445558695,1.914493552814371,11,25
0.7783026695251465,0.29079918736190163,1.9235304601341274,11,25
0.7867941856384277,0.30724611291540976,1.9640446550866295,11,25
0.7952194213867188,0.3237153293607399,1.9623750888596796,11,25
0.8035728931427002,0.3403259583104222,1.9641725279728872,11,25
0.8117227554321289,0.35683975238925525,1.9609827359124332,11,25
0.8200201988220215,0.37346726440658207,1.9637560507613834,11,25
0.8286259174346924,0.3899709129601884,1.958796799616835,11,25
0.8365473747253418,0.4065527668562235,1.9628076408630413,11,25
0.845099925994873,0.4230062112524167,1.9569627807790846,11,25
0.8533482551574707,0.4395225080845566,1.9621155065792202,11,25
0.8622119426727295,0.45591814953404874,1.9659807510536411,11,25
0.8699150085449219,0.47226409617947396,1.9655585034609702,11,25
0.87857985496521,0.4886960364636551,1.965985682109094,11,25
0.887012243270874,0.5050638827875884,1.9652399257479538,11,25
0.8954463005065918,0.521535373329223,1.9652973892473493,11,25
0.9033360481262207,0.5378585342634793,1.9641124704184274,11,25
0.9113750457763672,0.5542872368808349,1.964502079868285,11,25
0.9196999073028564,0.570526261543963,1.9624907683846462,11,25
0.9287073612213135,0.5868006618982363,1.963929277403983,11,25
0.937373161315918,0.602969387240682,1.9608070117363412,11,25
0.9451546669006348,0.6192821458234314,1.9637806485924068,11,25
0.9531338214874268,0.6355397905775232,1.9588991325334861,11,25
0.9617650508880615,0.6519305427077298,1.9630521488879533,11,25
0.9699766635894775,0.6683165125087632,1.9591434995790689,11,25
0.9782018661499023,0.6847685480969745,1.9617983997011958,11,25
0.9863948822021484,0.7011840272997009,1.965711971967001,11,25
0.9948604106903076,0.7175848208992164,1.9660324739865664,11,25
1.0032320022583008,0.7340774990686297,1.965972106642103,11,25
1.011528491973877,0.7504869155100062,1.9650266807998857,11,25
1.0199146270751953,0.7670138790567886,1.965539733347827,11,25
1.0285394191741943,0.7834474504028496,1.9643195807730542,11,25
1.036905288696289,0.7999632988600093,1.964783282473811,11,25
1.0452487468719482,0.8162363191058616,1.9629130641870622,11,25
1.05357027053833,0.8325294997776456,1.9642886849066892,11,25
1.0618596076965332,0.848691958019884,1.960751299316617,11,25
1.0698261260986328,0.8649847782530016,1.9636487196745092,11,25
1.0782947540283203,0.8812128816459228,1.958992043250119,11,25
1.086545705795288,0.8975691984056572,1.9631762213040047,11,25
1.0955226421356201,0.9139186785837263,1.956775268705505,11,25
1.103337287902832,0.9303998713698498,1.9622194156924984,11,25
1.1114013195037842,0.946829822468739,1.9659803725828748,11,25
1.1195275783538818,0.963239900253078,1.9656753603574182,11,25
1.1283376216888428,0.9797269419309652,1.9656315663786215,11,25
1.136545181274414,0.9960790719510154,1.9653679660885324,11,25
1.1452865600585938,1.012535407703711,1.965574655251636,11,25
1.1533565521240234,1.0288402475459004,1.9640788763334722,11,25
1.1616792678833008,1.0452693464242089,1.9644714846644644,11,25
1.1699576377868652,1.0615804439392633,1.9629184995400348,11,25
1.1783638000488281,1.0779478244665013,1.9642129824817185,11,25
1.186692237854004,1.094227265028499,1.96120750760427,11,25
1.1949551105499268,1.1106625772775605,1.9641033551440832,11,25
1.2033469676971436,1.1270638279056133,1.9591660051030464,11,25
1.2117772102355957,1.1435635550367884,1.963210177671549,11,25
1.2202057838439941,1.1599798782246402,1.957233859454343,11,25
1.228642463684082,1.1764866636717282,1.9625610457875662,11,25
1.2366855144500732,1.1929356456321973,1.9660403023928932,11,25
1.2450859546661377,1.209343112383502,1.9613229397412335,11,25
1.2533538341522217,1.225673199651375,1.9659999356511786,11,25
1.2618141174316406,1.2419674533149754,1.9640572058126626,11,25
1.2698216438293457,1.2584089102794658,1.9654407783354035,11,25
1.2783787250518799,1.2747635745226136,1.9645293033201405,11,25
