Time,Robot Y pose,Robot Y velocity,Robot Tires vel,Robot Tires torque
0.46317481994628906,-0.0754464610435452,-0.9061367359219501,11,25
0.47992372512817383,-0.061690915440782396,0.35569348621533114,11,25
0.49233269691467285,-0.05026666033028205,0.7036414949746589,11,25
0.5048031806945801,-0.03833039625237069,0.8178399893747089,11,25
0.5172977447509766,-0.0261809139574411,0.8851642024063274,11,25
0.5297877788543701,-0.013817888068046083,0.8974170263270242,11,25
0.5422875881195068,-0.0012788593603201281,0.9645213447063203,11,25
0.5547878742218018,0.011467132790968199,1.0419962149775115,11,25
0.5672924518585205,0.024470918470064898,1.1063863985717677,11,25
0.5797786712646484,0.037888491591372336,1.1523774033392735,11,25
0.5922868251800537,0.05148074257763277,1.25821924816406,11,25
0.6047866344451904,0.0654852232721641,1.3469120590496313,11,25
0.6173009872436523,0.08009515973132994,1.4455119338837878,11,25
0.6298203468322754,0.09516046743192544,1.554799278936177,11,25
0.6382279396057129,0.10598977026083839,1.4907934925094586,11,25
0.6465637683868408,0.11723664157518997,1.5075722296729843,11,25
0.6548233032226562,0.12889655988232698,1.5059932728707797,11,25
0.6632771492004395,0.14088850617292545,1.5147423061790162,11,25
0.6715044975280762,0.15324772094782754,1.5432248165388536,11,25
0.6798892021179199,0.1658973271497866,1.5672214480310418,11,25
0.688162088394165,0.17891343082319144,1.6054573547258155,11,25
0.6965053081512451,0.19219148416452195,1.6416643805278357,11,25
0.7048144340515137,0.20587231753726704,1.6711265663592767,11,25
0.7131555080413818,0.21989237772856157,1.7085851207676641,11,25
0.7215275764465332,0.23419971379697063,1.7335223167137852,11,25
0.7298886775970459,0.24889359758651627,1.7675788703731343,11,25
0.7381727695465088,0.26393011749424766,1.7709349672640322,11,25
0.7465066909790039,0.27927411974848637,1.808626220709768,11,25
0.7548627853393555,0.29489363294459386,1.8913069602731696,11,25
0.7631916999816895,0.3110895484172348,1.946678616637313,11,25
0.771594762802124,0.3276366630898007,1.959528318495368,11,25
0.779900074005127,0.3442530222837735,1.9661804519821398,11,25
0.7882344722747803,0.3609406001667187,1.9591419469229614,11,25
0.7965836524963379,0.3774279773021345,1.9660260785231922,11,25
0.8048834800720215,0.3940032224139981,1.962077551382337,11,25
0.8132584095001221,0.4104563862556361,1.965987903794598,11,25
0.8215737342834473,0.42693528157378635,1.9611279149630305,11,25
0.8299026489257812,0.44340188874218467,1.9652965671284162,11,25
0.8382706642150879,0.45991295676308347,1.9623792323236027,11,25
0.8465988636016846,0.47641912064306247,1.9648288655001085,11,25
0.854954719543457,0.49292238704079894,1.9638008517814314,11,25
0.8632729053497314,0.5093341423153943,1.9637649674180218,11,25
0.8716139793395996,0.5256741866725916,1.9647354830487276,11,25
0.8799540996551514,0.54202619605962,1.962129450107804,11,25
0.8883130550384521,0.5583478174741159,1.9652757225685726,11,25
0.8966336250305176,0.574758180892913,1.9607467370518137,11,25
0.9049174785614014,0.5911357747771904,1.9657984877161279,11,25
0.9132475852966309,0.6075600047177092,1.958596286631064,11,25
0.9216065406799316,0.6239280698187868,1.965935332502512,11,25
0.9299459457397461,0.640376006778463,1.9580619085980604,11,25
0.9383187294006348,0.6566231022004071,1.965806469171606,11,25
0.9465348720550537,0.6729898561852387,1.9642478407462263,11,25
0.9549210071563721,0.6893483992802356,1.9656601923109995,11,25
0.9632866382598877,0.7057390210705979,1.9623056378539852,11,25
0.9715960025787354,0.7221216670422502,1.9646751278216388,11,25
0.9799463748931885,0.7385300545410989,1.9633911587492672,11,25
0.9882454872131348,0.7548650506113874,1.9638224224988645,11,25
0.996589183807373,0.7711452432774294,1.964580308405912,11,25
1.0049619674682617,0.7874133727089878,1.962381502993555,11,25
1.013249158859253,0.8036645375832617,1.9653132195195147,11,25
1.0216021537780762,0.8199901274941984,1.960416114649423,11,25
1.029956340789795,0.8363084370123074,1.965459275319547,11,25
1.0382843017578125,0.8527367087323113,1.958675280619059,11,25
1.0465941429138184,0.8691267870563466,1.9660794621058806,11,25
1.0549135208129883,0.8855728216556885,1.9577692711824688,11,25
1.0632493495941162,0.9018136552596012,1.9658437021422415,11,25
1.0715110301971436,0.9181925483995219,1.964462345772165,11,25
1.0799446105957031,0.9345677419851353,1.9655041744505395,11,25
1.0883138179779053,0.9509943113315747,1.9620161548716162,11,25
1.0965969562530518,0.9674173629707805,1.965016097354989,11,25
1.104945182800293,0.9838664942929659,1.9637477933693765,11,25
1.1132574081420898,1.00023433714325,1.9636528182400987,11,25
1.121600866317749,1.016542629948485,1.9643732797340023,11,25
1.129951000213623,1.0328331240866464,1.9624640906565933,11,25
1.1382555961608887,1.0491009720423332,1.9652893463003427,11,25
1.1465823650360107,1.065438113847484,1.9607549935240605,11,25
1.1549501419067383,1.081764488186812,1.9656654620433363,11,25
1.163285493850708,1.0981938043404411,1.958503134629679,11,25
1.1715962886810303,1.1145801039084162,1.9657819026994616,11,25
1.1799139976501465,1.1310194634926116,1.9581832239967465,11,25
1.1882803440093994,1.147254284895423,1.966000040349631,11,25
1.1965131759643555,1.163623814577837,1.9643480392422794,11,25
1.2049384117126465,1.1799900774920495,1.965532320043112,11,25
1.2133045196533203,1.1964101617827454,1.962105886422286,11,25
1.221576452255249,1.2128278770665581,1.9648922806376268,11,25
1.2299432754516602,1.2292709554570045,1.9633216604227326,11,25
1.2382454872131348,1.2456996360618924,1.9640910844013317,11,25
1.2466435432434082,1.2621252135559016,1.9647939032669246,11,25
1.2549724578857422,1.2785169781329344,1.9624687289392757,11,25
1.2632527351379395,1.2948530068361372,1.9649036033017928,11,25
